david_applefield,on_a_flying_fish
jane_austen,emma
jane_austen,mansfield_park
jane_austen,persuasion
jane_austen,pride_and_prejudice
jane_austen,sense_and_sensibility
l._frank_baum,the_emerald_city_of_oz
l._frank_baum,the_patchwork_girl_of_oz
charlotte_bronte,jane_eyre
frances_hodgsen,burnett_a_little_princess
frances_hodgsen,burnett_the_secret_garden
lewis_carroll,through_the_looking_glass
willa_cather,scandal
kate_chopin,the_awakening
colette,cheri
henry_drummond,the_greatest_thing_in_the_world
fred_dungan,the_gospel_according_to_condo_don
george_elliot,silas_marner
f._scott,fitzgerald_bernice_bobs_her_hair
e._m._forster,a_room_with_a_view
thomas_hardy,far_from_the_madding_crowd
nathaniel_hawthorne,the_scarlet_letter
o._henry,the_gift_of_the_magi
henry_james,daisy_miller
henry_james,washington_square
rudyard_kipling,the_jungle_book
d._h._lawrence,lady_chatterley's_lover
j_sheridan_lefanu,carmilla
j_sheridan_lefanu,the_white_cat_of_drumgonniol
anita_loos,gentlemen_prefer_blondes
edgar_allen_poe,the_facts_in_the_case_of_m._valdemar
beatrice_potter,classics_including_the_tale_of_peter_rabbit
anna_sewell,black_beauty
mary_shelley,frankenstein
joanna_spyri,heidi
robert_louis,stevenson_treasure_island
jules_verne,20000_leagues_under_the_sea_1
jules_verne,20000_leagues_under_the_sea_2
edith_wharton,ethan_frome
edith_wharton,madame_de_treymes
edith_wharton,summer
edith_wharton,roman_fever
e._b._white,the_trumpet_of_the_swan
virginia_woolf,mrs._dalloway
